,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
CHD,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.001,0.007,0.005,0.001,0.007,0.006,0.006
ES,0.0,0.0,0.017,0.008,0.0,0.0,0.0,0.006,0.0,0.005,0.001,0.006,0.006,0.006
HPQ,0.045,0.043,0.022,0.032,0.042,0.044,0.0,0.0,0.0,0.005,0.001,0.005,0.004,0.005
ADM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.005,0.005,0.005
EIX,0.012,0.023,0.0,0.0,0.0,0.01,0.026,0.0,0.0,0.005,0.001,0.009,0.004,0.006
CMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.006,0.005,0.005
NVR,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.005,0.002,0.003
HUBB,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.026,0.005,0.001,0.005,0.006,0.005
TROW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
TSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
WSM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.003,0.003
PHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.003,0.003
IFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.005,0.001,0.005,0.006,0.006
LUV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.005,0.004
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.002,0.005,0.001,0.005,0.006,0.005
NI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.001,0.005,0.006,0.006
WDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.002,0.003
GPC,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.038,0.036,0.005,0.001,0.005,0.007,0.006
KEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.004,0.004
HRL,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.014,0.005,0.001,0.007,0.006,0.007
HAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.003,0.004
SNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.004
PNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.004
CLX,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.03,0.048,0.005,0.001,0.009,0.007,0.007
LNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.014,0.005,0.001,0.007,0.007,0.007
BAX,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.005,0.001,0.006,0.006,0.006
EVRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.004,0.005,0.001,0.007,0.006,0.007
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.004
WST,0.061,0.06,0.033,0.047,0.05,0.057,0.008,0.0,0.007,0.005,0.001,0.006,0.005,0.005
BALL,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.003,0.005,0.001,0.006,0.005,0.006
BBY,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.005,0.001,0.004,0.003,0.003
AVY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.005
IEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.004,0.005,0.004
COO,0.01,0.037,0.0,0.0,0.0,0.018,0.004,0.0,0.0,0.005,0.001,0.005,0.002,0.003
TXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.003
MAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.003,0.004,0.003
TER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.002,0.003,0.002
DOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.005
MOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.003,0.003
BEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.004,0.003
CAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.006
PNW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.006,0.006,0.006
TAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.006,0.005,0.005
HST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.003,0.003
RVTY,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.005,0.004,0.005
SWKS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.002,0.003
VTRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.004,0.004
CPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.006,0.006,0.006
SWK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.005,0.004
GL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.005,0.004
WBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.005,0.005
HAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.004,0.004
AOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.004,0.004
IPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.004,0.004
FRT,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.018,0.005,0.0,0.006,0.006,0.006
APA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.004,0.003,0.004
