,MSR_Sample_Average,MSR_Sample_EWA,MSR_CCM_Average,MSR_CCM_EWA,MSR_Shrinkage_Average,MSR_Shrinkage_EWA,GMV_Sample,GMV_CCM,GMV_Shrinkage,EW,CW,ERC_Sample,ERC_CCM,ERC_Shrinkage
6857.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.01,0.006,0.005,0.005
6902.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.011,0.006,0.007,0.006
6952.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
6954.T,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.006,0.007,0.007,0.006,0.007
6971.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.016,0.006,0.005,0.006,0.008,0.007
6976.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.004,0.005,0.005
7751.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.001,0.006,0.009,0.007,0.008,0.007
7752.T,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.009,0.036,0.006,0.002,0.009,0.007,0.008
8035.T,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.019,0.006,0.021,0.008,0.006,0.007
7201.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.006,0.006,0.006
7202.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.004,0.005,0.004
7203.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.033,0.006,0.077,0.007,0.008,0.008
7205.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.004,0.005,0.004
7211.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.005,0.005
7261.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.005,0.005
7267.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.014,0.006,0.007,0.006
7269.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.007,0.006,0.006,0.006
7270.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.004,0.006,0.006,0.006
4543.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.009,0.007,0.007,0.007
4902.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.005,0.005,0.005
7731.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
7733.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.006,0.006,0.006
7762.T,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.003,0.006,0.0,0.006,0.006,0.006
9432.T,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.024,0.033,0.006,0.027,0.01,0.008,0.009
9433.T,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.002,0.006,0.022,0.01,0.006,0.008
9613.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.009,0.006,0.006,0.006
9984.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.023,0.005,0.005,0.005
8308.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.006,0.005,0.006
8316.T,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.006,0.028,0.007,0.006,0.006
8331.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.007,0.007,0.007
8253.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.004,0.004,0.004
8601.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.003,0.005,0.006,0.005
8604.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.005,0.005,0.006,0.005
8766.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.023,0.007,0.007,0.007
1332.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.006,0.006,0.006
2002.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.025,0.006,0.001,0.008,0.008,0.008
2269.T,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.017,0.006,0.002,0.011,0.006,0.008
2282.T,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.008,0.028,0.006,0.001,0.01,0.007,0.009
2501.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.005,0.006,0.005
2502.T,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.057,0.05,0.006,0.006,0.008,0.008,0.008
2503.T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.012,0.006,0.004,0.008,0.008,0.008
